REGIAO;UF;MUNICIPIO ;CODIGO DO IBGE;DENOMINACAO DA COMUNIDADE;ID QUILOMBOLA;N PROCESSO NA FCP;DATA DA ABERTURA DO PROCESSO;N DO LIVRO DE REGISTRO;N DO REGISTRO;N DA FOLHA DO LIVRO DE REGISTRO;N DA PORTARIA DE CERTIFICACAO;DATA DA PORTARIA NO D.O.U;LINK DA PUBLICACAO NO DOU;N PROCESSO INCRA;LATITUDE - S-N;LONGITUDE - W-E;ENDERECO/TELEFONE DA COMUNIDADE;OBSERVACOES
NORTE;RO;SAO FRANCISCO DO GUAPORE;1101492;SANTO ANTONIO DO GUAPORE;229;01420.000359/2003-50;21/10/2003;1;17;18;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54300.000746/2005-81 ;-12.480777;-63.373237;;
NORDESTE;BA;BOM JESUS DA LAPA | MALHADA;2903904 | 2920205;NOVA BATALHINHA;122;01420.000188/2003-69;28/04/2003;1;18;19;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.001500/2006-59;-13.684767;-43.4795;"Central Regional Quilombola do TerritOrio do Velho Chico. AbrAo Rodrigues Borges; (77) 9928-3026/ 9986-1861. Recado com Florisvaldo (77)9991-0766 ou Lucas (77) 9991-7385 ou Claudio (77)  8106-8568. ";
NORDESTE;PB;SANTA LUZIA;2513406;SERRA DO TALHADO;151;01420.000195/2004-41;14/04/2004;1;19;20;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54320.000417/2005-00 ;;;JosE (83) 99984-3214 Gisleide/Marinalda;
NORTE;PA;SANTAREM;1506807;SARACURA;188;01420.000270/2004-74;11/05/2004;1;20;21;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54105.002169/2003-14 ;-2.413693;-54.597469;;
NORDESTE;BA;BOM JESUS DA LAPA;2903904;ARACÁ, CARIACA, COXO, RETIRO, PATOS E PEDRA;;01420.000274/1998-99;03/08/1998;1;21;22;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54160.001788/2005-81;-13.4451;-43.360383;Central Regional Quilombola do TerritOrio do Velho Chico. AbrAo Rodrigues Borges 77-9928-3026// 9986-1861. Recado com Florisvaldo - 77-9991-0766 floriquilombola@hotmail.com  ou Lucas 77-9991-7385 ou  Claudio  77-8106-8568. SEVERINO BORGES DE ALMEIDA -  (SEVERO) 77- 9123-8588;DA VOLTA
NORTE;PA;SALVATERRA;1506302;CAMPINA;1.161;01420.000188/2004-40;14/04/2004;1;22;23;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54100.000321/2004-47 ;;;;
NORTE;PA;SANTAREM;1506807;ARAPEMA;186;01420.000011/2004-43;19/01/2004;1;23;25;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54105.002167/2003-17 ;-2.381857;-54.650203;;REGISTRADO NO LIVRO 1 – REG 23 – F. 25 – P. 19/2004 - 04/06/2004
NORTE;PA;VISEU | BOA VISTA DO GURUPI;1508308 | 2101970;PACA E ANINGAL;167;01420.000189/2004-94;14/04/2004;1;24;26;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54100.002084/2003-78;-1.716771;-46.266874;;
NORTE;PA;CACHOEIRA DO PIRIÁ;1501956;BELA AURORA;443;01420.000425/2002-19;09/09/2002;1;25;27;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54100.000552/2004-51;-1.767579;-46.34291;;
NORDESTE;MA;ITAPECURU MIRIM;2105401;SANTA MARIA DOS PINHEIROS;108;01420.000008/1999-10;15/01/1999;1;26;28;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54230.003776/2004-39 ;-3.395065;-44.45816;;
NORDESTE;MA;SANTA RITA;2110203;SANTA LUZIA;807;01420.000255/2004-26;11/05/2004;1;27;29;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54230.002866/2007-55 ;;;;
NORDESTE;MA;ITAPECURU MIRIM;2105401;MATA DE SAO BENEDITO;125;01420.000254/2004-81;11/05/2004;1;28;30;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54230.001494/2005-88 ;-3.377824;-44.407923;;
NORDESTE;BA;WANDERLEY;2933455;RIACHO DA SACUTIABA e SACUTIABA;;01420.000096/1997-80;18/04/1997;1;29;31;19/2004;04/06/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=19&data=04/06/2004 - http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=71&data=11/11/2005;54160.003689/2004-52;-11.490911;-43.875389;Valdionice Pereira dos Santos;
NORDESTE;BA;BREJOLÂNDIA | MUQUEM DE SAO FRANCISCO | SITIO DO MATO;2904407 | 2922250 | 2930758;JATOBÁ;211;01420.000323/1999-39;12/07/1999;1;30;32;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.003688/2004-16;-12.57951;-43.306038;77 99809 6789 - Eva (presidenta) / 77 99992 6386 - Almeida (recado);
NORTE;PA;BAIAO;1501204;FUGIDO RIO TUCUNARE;458;01420.000519/2003-61;25/11/2003;1;31;33;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54100.016347/2009-11 ;;;;
NORDESTE;BA;SIMOES FILHO;2930709;DANDÁ;39;01420.000364/2002-81;08/08/2002;1;32;34;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.000234/2006-47;-12.708888;-38.410825;;
SUDESTE;SP;ELDORADO;3514809;ANDRE LOPES;922;01420.000584/2004-77;27/08/2004;1;33;35;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54190.003185/2004-05 ;;;;Anexado ao Processo 34/2002-96
NORDESTE;BA;BOM JESUS DA LAPA | MALHADA | RIACHO DE SANTANA;2903904 | 2920205 | 2926400;RIO DAS RAS;305;01420.000391/1995-74;10/11/1997;1;34;36;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.002525/2013-07;-13.785926;-43.468516;"Central Regional Quilombola do TerritOrio do Velho Chico. AbrAo Rodrigues Borges; (77) 9928-3026// 9986-1861. Recado com Florisvaldo (77) 9991-0766 ou Lucas (77) 9991-7385 ou  Claudio  (77)  8106-8568. ";
SUL;RS;PORTO ALEGRE;4314902;FAMILIA SILVA;24;01420.000240/2003-87;11/06/2003;1;35;37;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54220.022094/2004-28;-30.030315;-51.172194;;
SUL;RS;PORTO ALEGRE;4314902;AREAL LUIZ GUARANHA;442;01420.000304/2004-21;28/05/2004;1;36;38;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54220.000401/2005-97;-30.045226;-51.224877;;
SUL;RS;SERTAO;4320503;MORMACA;25;01420.000015/2003-41;09/01/2003;1;37;39;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54220.001784/2005-41;-27.979074;-52.315857;;
SUL;RS;COXILHA | SERTAO;4305975 | 4320503;ARVINHA;7;01420.000035/2003-11;09/01/2003;1;38;40;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54220.001305/2005-96;-28.060801;-52.386038;;
SUDESTE;MG;PARACATU;3147006;FAMILIA DOS AMAROS;6;01420.000198/2002-13;04/08/2009;1;39;41;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54170.008897/2003-48 ;-17.1681;-46.825712;;
SUDESTE;RJ;CABO FRIO | SAO PEDRO DA ALDEIA;3300704 | 3305208;CAVEIRA;100;01420.000059/1999-33;27/11/1998;1;40;42;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54180.001482/2004-13 ;-22.743229;-42.065031;JosuE 22 998778268, (22) 26256066 / 9268-5858;
SUL;SC;PRAIA GRANDE | MAMPITUBA;4213807 | 4311734;SAO ROQUE;33;01420.000381/2004-81;31/01/2011;1;41;43;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54210.000262/2005-41 ;-29.269785;-50.10396;;
NORDESTE;BA;CACHOEIRA;2904902;CAONGE, DENDÊ, ENGENHO DA PONTE, ENGENHO DA PRAIA E KALEMBA;40;01420.000363/2004-07;21/06/2004;1;42;44;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.003747/2011-77;"12°38'53.4""";"38°51'03.9""";;Recôncavo baiano
NORDESTE;BA;CACHOEIRA;2904902;CAIMBONGO;47;01420.000364/2004-43;21/06/2004;1;43;45;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.000244/2013-10;"12°41'07.3""";"38°48'55.2""";;Recôncavo baiano
NORDESTE;BA;CACHOEIRA;2904902;CALOLE, IMBIARA E TOMBO;45;01420.000362/2004-54;23/06/2004;1;44;46;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.001064/2010-02;"12°38'28.8""";"38°53'20.7""";;Recôncavo baiano
NORDESTE;BA;CACHOEIRA;2904902;ENGENHO DA VITORIA;61;01420.000361/2004-18;21/06/2004;1;46;47;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;;"12°39'37.7""";"38°56'27.7""";;Recôncavo baiano
SUDESTE;MG;SAO FRANCISCO;3161106;BURITI DO MEIO;2.000;01420.000382/2004-25;14/06/2004;1;47;49;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54170.003747/2005-18;;;;
NORTE;PA;SANTAREM;1506807;BOM JARDIM;11;01420.000383/2004-70;14/06/2004;1;48;51;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54105.002171/2003-85 ;-2.549438;-54.598801;;
SUDESTE;MG;VICOSA;3171303;BUIEIE;2.014;01420.000385/2004-69;25/06/2004;1;49;52;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54170.003746/2005-65;-20.71144;-42.825118;Maria Aparecida Oliveira Januária e Luciano de Oliveira 31-97144-4127;
NORDESTE;BA;BOM JESUS DA LAPA;2903904;JUÁ;1.629;01420.000184/1999-43;03/05/1999;1;50;53;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.001074/2010-30;-12.95963;-43.398479;Central Regional Quilombola do TerritOrio do Velho Chico. AbrAo Rodrigues Borges - (77) 9928-3026/ 9986-1861. Recado com Florisvaldo (77)9991-0766 ou Lucas (77) 9991-7385 ou  Claudio  (77)  8106-8568. ;
NORDESTE;BA;BOM JESUS DA LAPA;2903904;BANDEIRA;1.626;01420.000185/1999-98 ;03/05/1999;1;50;53;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.001074/2010-30;-12.95963;-43.398479;Central Regional Quilombola do TerritOrio do Velho Chico. AbrAo Rodrigues Borges - (77) 9928-3026/ 9986-1861. Recado com Florisvaldo (77)9991-0766 ou Lucas (77) 9991-7385 ou  Claudio  (77)  8106-8568. ;
NORDESTE;BA;MALHADA;2920205; PARATECA E PAU D'ARCO;;01420.000051/1998-96;25/02/1998;1;51;54;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.003690/2004-87;-13.959713;-43.577783;;
NORDESTE;BA;SITIO DO MATO;2930758;BARRO VERMELHO E MANGAL;;01420.000435/1997-45;29/12/1997;1;52;55;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.002608/2008-21;-12.753397;-43.357351;;
NORDESTE;BA;BOM JESUS DA LAPA;2903904;LAGOA DO PEIXE;130;01420.000282/1998-08;03/08/1998;1;53;56;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.003687/2004-63;-13.363;-43.385;;
NORDESTE;CE;TURURU;2313559;ÁGUA PRETA;1.452;01420.000346/2004-61;15/06/2004;1;54;57;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54130.003558/2005-11 ;-3.614387;-39.390195;Antonia Lopes de Lima (85)91553588 33581027. JosE Renato Ferreira dos Santos ( Renato Baiano) - ComissAo executiva (CEQUIRCE) - (88) 9263 3495 ou 88 9656 2980 -  renato_tamboril@yahoo.com.br. Aurila 88-9902-3199. aurilaquilombola@hotmail.com;
NORDESTE;CE;TURURU;2313559;CONCEICAO DOS CAETANOS;909;01420.000047/1998-28;25/02/1998;1;55;58;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54130.001695/2006-94 ;;;Maria Sandra Caetano 85 3358 3080/8801-8434.  JosE Renato Ferreira dos Santos ( Renato Baiano) - ComissAo executiva (CEQUIRCE) - (88) 9263 3495 ou 88 96562980 renato_tamboril@yahoo.com.br;
SUDESTE;RJ;RIO DE JANEIRO;3304557;FAMILIA PINTO - SacopA;129;01420.001389/2005-45;24/06/2005;1;56;59;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54180.000712/2005-18;-22.966836;-43.201142;;
NORDESTE;BA;SIMOES FILHO;2930709;PITANGA DOS PALMARES;1.878;01420.000351/2004-74;17/06/2004;1;57;60;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.001675/2008-28;-12.678135;-38.403952;Rua Nossa EsperanCa, s/n, Pitanga de Palmares - SimOes Filho/BA CEP: 43.700-000 -  (71) 8167-6100 - flavio.gabriel2008@hotmail.com;
NORTE;TO;ARRAIAS;1702406;LAGOA DA PEDRA;1.198;01420.000389/2004-47;24/06/2004;1;58;61;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54400.001304/2006-12 ;;;;
NORDESTE;MA;ITAPECURU MIRIM;2105401;PIQUI E SANTA MARIA DOS PRETOS;147;01420.000257/2004-15;11/05/2004;1;59;62;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54230.001497/2005-11;;;;
SUL;PR;PINHAO|GUARAPUAVA |RESERVA DO IGUACU;4121752;INVERNADA PAIOL DE TELHA;110;01420.000031/1997-34;13/02/1997;1;60;63;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54200.001727/2005-08 ;-25.778192;-51.992296;Ana - Presidente da AssociaCAo, Isabela-Sobrinha (41) 9661-2328;
SUDESTE;MG;PARACATU;3147006;MACHADINHO;116;01420.000256/2004-71;11/05/2004;1;61;64;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54170.003688/2005-70;-17.175628;-46.91254;Maria Abadia  (38) 3671-1888;
SUDESTE;MG;PARACATU;3147006;SAO DOMINGOS;133;01420.000339/1998-32;20/10/1998;1;62;65;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54170.000059/2004-15;-17.200977;-46.860483;Irene - (38)  8405-8216;
NORDESTE;BA;MARAGOGIPE;2920601;SALAMINAS ;113;01420.000509/2004-14;13/08/2004;1;63;66;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.004694/2005-63;-12.810035;-38.884869;;Recôncavo baiano
NORDESTE;BA;SALVADOR;2927408;BANANEIRAS;1.851;01420.000510/2004-31;13/08/2004;1;64;67;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54160.001114/2008-29;-12.758324;-38.528458;Marizelha Lopes - 71-99921-1014 - nega.mpp@gmail.com;ILHA DA MARE
NORTE;PA;SANTAREM;1506807;TININGU;495;01420.000350/2004-20;15/06/2004;1;65;69;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54105.002172/2003-20 ;-2.590026;-54.469545;;
SUDESTE;RJ;CABO FRIO;3300704;PRETO FORRO;80;01420.000166/2003-07;14/04/2003;1;66;70;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;;-22.661968;-42.099922;(22) 9951-6146/9948-1449/9834-9726;
NORDESTE;PE;ÁGUAS BELAS;2600500;QUILOMBO;954;01420.000283/2002-81;20/06/2002;1;68;72;35/2004;10/12/2004;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=10/12/2004;54140.004353/2007-98 ;;;;
